"4314 Breakwood , Houston, TX 77096",29.682098,-95.450041,1000000,202.02020202
"1224 Harvard , Houston, TX 77008",29.793554,-95.396142,1000000,216.076058773
"3827 Childress , Houston, TX 77005",29.726814,-95.439548,999999,248.261916584
"1118 Lone Star Dr , Spring Valley, TX 77055",29.788185,-95.51252,999999,184.672022161
"2218 Del Monte Drive , Houston, TX 77019",29.752086,-95.413752,999999,362.71273123
"17400 Betty Ln , Houston, TX 77084",29.835088,-95.664841,999999,370.37
"12306 Boheme Dr , Houston, TX 77024",29.767965,-95.54495,999999,214.914893617
"3531 Grennoch Ln , Houston, TX 77025",29.695268,-95.430878,999995,207.467842324
"2524 Mcclendon St , Houston, TX 77030",29.708533,-95.4099828,999900,192.770387507
"5436 Cedar Creek Dr , Houston, TX 77056",29.752734,-95.470403,999900,304.847560976
"2313A Mimosa , Houston, TX 77019",29.7475429,-95.4149155,999900,251.863979849
"6648 Buffalo Speedway , Houston, TX 77005",29.707629,-95.427875,999750,237.696148359
"622 Shadywood , Houston, TX 77057",29.761093,-95.486667,999500,193.664018601
"5648 Shady River , Houston, TX 77056",29.767657,-95.476555,999000,248.260437376
"3711 Tartan Ln , Houston, TX 77025",29.693524,-95.434129,999000,232.001857873
"1700C Sunset Blvd , Houston, TX 77005",29.7230866,-95.4015524,999000,241.12961622
"2406 Avalon Place , Houston, TX 77019",29.746879,-95.415923,999000,304.75899939
"1309 Ben Hur , Spring Valley, TX 77055",29.792617,-95.506242,999000,228.604118993
"1010 C Potomac Unit C , Houston, TX 77057",29.7574525,-95.4888928,999000,238.367931281
"3783 Carlon , Houston, TX 77005",29.706886,-95.437042,999000,287.896253602
"326 Indian Bayou , Houston, TX 77057",29.7724809,-95.4795997,999000,216.796875
"3318 Sackett , Houston, TX 77098",29.735269,-95.423021,999000,259.615384615
"1835 Sunset Bl , Houston, TX 77005",29.722757,-95.404888,999000,249.687578105
"2517 Maconda Ln , Houston, TX 77027",29.742107,-95.436796,999000,227.045454545
"1522 Potomac Dr , Houston, TX 77057",29.7520441,-95.4888011,998500,202.741116751
"2207 Bancroft Lane Unit: 1406, Houston, TX 77027",29.744479,-95.4517641,998000,507.629704985
"723 Cherrybark Ln , Houston, TX 77079",29.777842,-95.564185,997723,168.477372509
"8310 Cheshire Vale St , Hunters Creek Village, TX 77024",29.7705062,-95.4954973,996500,230.992118683
"2219 Diamond Springs , Houston, TX 77077",29.743689,-95.6348019,995000,183.477779827
"3114 Acorn Wood Way , Houston, TX 77059",29.594638,-95.12375,995000,205.706016126
"905 Kirby Dr , Houston, TX 77019",29.759026,-95.409409,995000,433.551198257
"5661 Bayou Glen Rd , Houston, TX 77056",29.766053,-95.476973,995000,263.436589886
"7624 Brykerwoods Dr , Houston, TX 77055",29.791835,-95.481223,995000,233.13027179
"1600 Marshall , Houston, TX 77006",29.739784,-95.39953,995000,178.315412186
"3134 Bonnebridge Way , Houston, TX 77082",29.726442,-95.582954,995000,188.09073724
"8805 Cedarbrake Dr , Spring Valley Village, TX 77055",29.790963,-95.504281,995000,211.792252022
"8717 Lupton Ln , Houston, TX 77055",29.792618,-95.503255,995000,206.817709416
"713 Tanglewood , Houston, TX 77056",29.761376,-95.477182,995000,216.022579244
"2525 Robinhood , Houston, TX 77005",29.720397,-95.417815,995000,157.961581203
"5202 Stamper Way , Houston, TX 77056",29.744973,-95.467241,995000,258.508703559
"14103 Lofty Mountain Tr , Houston, TX 77062",29.594094,-95.135688,995000,198.404785643
"6629 Brompton , West University, TX 77005",30.67151,-96.289006,995000,323.998697493
